symbol,shortName,longName,sector,industry,longBusinessSummary,country,state,zip,logo_url
DEO,Diageo plc,Diageo plc,Consumer Defensive,Beverages—Wineries & Distilleries,"Diageo plc, together with its subsidiaries, produces, markets, and sells alcoholic beverages. The company offers scotch, whisky, gin, vodka, rum, ready to drink products, Irish cream liqueur, raki, liqueur, wine, tequila, Canadian whisky, American whiskey, adult beverages, cachaÃ§a, spirits, and brandy, as well as beer, including cider and non-alcoholic products. Diageo plc provides its products primarily under the Johnnie Walker, Smirnoff, Baileys, Captain Morgan, Tanqueray, and Guinness brands. The company also offers its products under the Crown Royal, YenÃ¬ Raki, Shui Jing Fang, Johnnie Walker Blue Label, Bulleit Bourbon, Don Julio, Buchanan's, J?B, Old Parr, Tanqueray No. TEN, Ron Zacapa Centenario XO, Casamigos, Bundaberg, McDowell's No. 1, YpiÃ³ca, Lagavulin, The Singleton of Glen Ord, Johnnie Walker Gold Label Reserve, Windsor, Black&White, CÃ®roc, Ketel One vodka, and Talisker brands. It has operations in North America, Europe, Turkey, Africa, Latin America, the Caribbean, the Asia Pacific, and internationally. The company was incorporated in 1886 and is headquartered in London, the United Kingdom.",United Kingdom,,NW10 7HQ,https://logo.clearbit.com/diageo.com
CTAS,Cintas Corporation,Cintas Corporation,Industrials,Specialty Business Services,"Cintas Corporation provides corporate identity uniforms and related business services primarily in the United States, Canada, and Latin America. It operates through Uniform Rental and Facility Services, First Aid and Safety Services, and All Other segments. The company rents and services uniforms and other garments, including flame resistant clothing, mats, mops and shop towels, and other ancillary items; and provides restroom cleaning services and supplies, as well as sells uniforms. It also offers first aid and safety services, and fire protection products and services. The company provides its products and services through its distribution network and local delivery routes, or local representatives to small service and manufacturing companies, as well as major corporations. Cintas Corporation was founded in 1968 and is headquartered in Cincinnati, Ohio.",United States,OH,45262-5737,https://logo.clearbit.com/cintas.com
CABO,"Cable One, Inc.","Cable One, Inc.",Communication Services,Telecom Services,"Cable One, Inc., together with its subsidiaries, provides data, video, and voice services in the United States. The company offers residential data services, a service to enhance Wi-Fi signal throughout the home. It also provides residential video services, such as local networks; local community programming that includes governmental and public access; and other channels, as well as digital video services, including national and regional cable networks, music channels, and an interactive and electronic programming guide with parental controls. In addition, the company offers premium channels that offer movies, original programming, live sporting events, and concerts and other features; and advanced video services, such as whole-home DVRs and high-definition set-top boxes, as well as TV Everywhere product, which enables its video customers to stream various channels and shows to mobile devices and computers. Further, it provides residential voice services comprising local and long-distance calling, voicemail, call waiting, three-way calling, caller ID, anonymous call rejection, and other features, as well as international calling by the minute services. Additionally, the company offers data, voice, and video products to business customers, including small to mid-markets, enterprises, and wholesale and carrier customers. As of December 31, 2020, it served approximately 969,000 residential and business customers in 21 states through its Sparklight and Clearwave brands. Cable One, Inc. was incorporated in 1980 and is headquartered in Phoenix, Arizona.",United States,AZ,85012,https://logo.clearbit.com/cableone.biz
BKE,"Buckle, Inc. (The)","The Buckle, Inc.",Consumer Cyclical,Apparel Retail,"The Buckle, Inc. operates as a retailer of casual apparel, footwear, and accessories for young men and women in the United States. It markets a selection of brand name casual apparel, including denims, other casual bottoms, tops, sportswear, outerwear, accessories, and footwear, as well as private label merchandise primarily comprising BKE, Buckle Black, BKE Boutique, Red by BKE, Daytrip denim, Gimmicks, Gilded Intent, FITZ + EDDI, Willow & Root, Outpost Makers, Departwest, Departwest, Reclaim, Salvage, Nova Industries, and Veece. The company also provides services, such as hemming, gift-wrapping, layaways, guest loyalty program, the Buckle private label credit card, and personalized stylist services, as well as special order system that allows stores to obtain requested merchandise from other company stores or its online order fulfillment center. As of January 30, 2021, it operated 443 retail stores in 42 states under the Buckle and The Buckle names. The Buckle, Inc. also sells its products through its website, buckle.com. The company was formerly known as Mills Clothing, Inc. and changed its name to The Buckle, Inc. in April 1991. The Buckle, Inc. was incorporated in 1948 and is headquartered in Kearney, Nebraska.",United States,NE,68845-4915,https://logo.clearbit.com/buckle.com
ALLE,Allegion plc,Allegion plc,Industrials,Security & Protection Services,"Allegion plc manufactures and sells mechanical and electronic security products and solutions worldwide. The company offers door closers and controls; doors and door systems; electronic security products; electronic, biometric, and mobile access control systems; exit devices; locks, locksets, portable locks, and key systems; time, attendance, and workforce productivity systems; and other accessories. The company sells its products and solutions to end-users in commercial, institutional, and residential facilities, including education, healthcare, government, hospitality, commercial office, and single and multi-family residential markets under the CISA, Interflex, LCN, Schlage, SimonsVoss, and Von Duprin brands. It sells its products and solutions through distribution and retail channels, such as specialty distribution, e-commerce, and wholesalers, as well as through various retail channels comprising do-it-yourself home improvement centers, on-line and e-commerce platforms, and small specialty showroom outlets. Allegion plc was incorporated in 2013 and is headquartered in Dublin, Ireland.",Ireland,,D02 VH94,https://logo.clearbit.com/allegion.com
APD,"Air Products and Chemicals, Inc","Air Products and Chemicals, Inc.",Basic Materials,Chemicals,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide. The company produces atmospheric gases, including oxygen, nitrogen, argon, and rare gases; process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, syngas, and specialty gases; and equipment for the production or processing of gases comprising air separation units and non-cryogenic generators for customers in various industries, including refining, chemical, gasification, metals, manufacturing, food and beverage, electronics, magnetic resonance imaging, energy production and refining, and metals. It also designs and manufactures equipment for air separation, hydrocarbon recovery and purification, natural gas liquefaction, and liquid helium and liquid hydrogen transport and storage. Air Products and Chemicals, Inc. has a strategic collaboration with Baker Hughes Company to develop hydrogen compression systems. The company was founded in 1940 and is headquartered in Allentown, Pennsylvania.",United States,PA,18195-1501,https://logo.clearbit.com/airproducts.com
WAL,Western Alliance Bancorporation,Western Alliance Bancorporation,Financial Services,Banks—Regional,"Western Alliance Bancorporation operates as the bank holding company for Western Alliance Bank that provides various banking products and related services primarily in Arizona, California, and Nevada. It operates in two segments, Commercial and Consumer Related. The company offers deposit products, including checking, savings, and money market accounts, as well as fixed-rate and fixed maturity certificates of deposit accounts; and treasury management and residential mortgage products and services. It also offers commercial and industrial loan products, such as working capital lines of credit, inventory and accounts receivable lines, mortgage warehouse lines, equipment loans and leases, and other commercial loans; commercial real estate loans, which are secured by multi-family residential properties, professional offices, industrial facilities, retail centers, hotels, and other commercial properties; construction and land development loans for single family and multi-family residential projects, industrial/warehouse properties, office buildings, retail centers, medical office facilities, and residential lot developments; and consumer loans. In addition, the company provides other financial services, such as internet banking, wire transfers, electronic bill payment and presentment, lock box services, courier, and cash management services. Further, it holds certain investment securities, municipal and non-profit loans, and leases; invests primarily in low income housing tax credits and small business investment corporations; and holds certain real estate loans and related securities. The company operates 38 branch locations, as well as loan production offices. Western Alliance Bancorporation was founded in 1994 and is headquartered in Phoenix, Arizona.",United States,AZ,85004,https://logo.clearbit.com/westernalliancebancorporation.com
MMM,3M Company,3M Company,Industrials,Specialty Industrial Machinery,"3M Company develops, manufactures, and markets various products worldwide. It operates through four business segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment offers personal safety products, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules to industrial, electrical, and safety markets. The Transportation and Electronics provides electronics, such as display materials and systems, electronic materials solutions; automotive and aerospace, and commercial solutions; advanced materials; and transportation safety products to transportation and electronic original equipment manufacturer customers. The Health Care segment offers medical and surgical supplies, skin health and infection prevention products, oral care, separation and purification sciences, health information systems, drug delivery systems, and food safety products to healthcare industry. The Consumer segment provides home improvement, home care, and consumer health care products, as well as stationery and office supplies to various consumers. This segment is also involved in the retail auto care business. It offers its products through various e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers, as well as directly to users. 3M Company has a strategic collaboration with Merry Maids in residential cleaning sector; and collaborations with The Infectious Disease Research Institute and Duke Human Vaccine Institute to create a vaccine candidate with potential to provide protection against multiple variants of SARS-CoV-2. The company was founded in 1902 and is headquartered in St. Paul, Minnesota.",United States,MN,55144-1000,https://logo.clearbit.com/3m.com
,,,,,,,,,
DECK,Deckers Outdoor Corporation,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,"Deckers Outdoor Corporation, together with its subsidiaries, designs, markets, and distributes footwear, apparel, and accessories for casual lifestyle use and high-performance activities. The company offers premium footwear, apparel, and accessories under the UGG brand name; sandals, shoes, and boots under the Teva brand name; and relaxed casual shoes and sandals under the Sanuk brand name. It also provides footwear and apparel for ultra-runners and athletes under the Hoka brand name; and fashion casual footwear using sheepskin and other plush materials under the Koolaburra brand. The company sells its products through department stores, domestic independent action sports and outdoor specialty footwear retailers, and larger national retail chains, as well as online retailers. It also sells its products directly to consumers through its retail stores and e-commerce Websites, as well as distributes its products through distributors and retailers in the United States, Europe, the Asia-Pacific, Canada, Latin America, and internationally. As of March 31, 2021, it had 140 retail stores, including 71 concept stores and 69 outlet stores worldwide. The company was founded in 1973 and is headquartered in Goleta, California.",United States,CA,93117,https://logo.clearbit.com/deckers.com
CLX,Clorox Company (The),The Clorox Company,Consumer Defensive,Household & Personal Products,"The Clorox Company manufactures and markets consumer and professional products worldwide. It operates through four segments: Health and Wellness, Household, Lifestyle, and International. The Health and Wellness segment offers cleaning products, such as laundry additives and home care products primarily under the Clorox, Clorox2, Scentiva, Pine-Sol, Liquid-Plumr, Tilex, and Formula 409 brand names; professional cleaning and disinfecting products under the CloroxPro, Clorox Healthcare, and Clorox Total 360 brand names; professional food service products under the Hidden Valley brand name; and vitamins, minerals and supplement products under the RenewLife, Natural Vitality, NeoCell, and Rainbow Light brand names in the United States. The Household segment provides cat litter products under the Fresh Step, Scoop Away, and Ever Clean brand names; bags and wraps under the Glad brand name; and grilling products under the Kingsford and Kingsford Match Light brand names in the United States. The Lifestyle segment offers dressings, dips, seasonings, and sauces primarily under the Hidden Valley brand name; natural personal care products under the Burt's Bees brand name; and water-filtration systems and filters under the Brita brand name in the United States. The International segment provides laundry additives; home care products; water-filtration systems and filters; digestive health products; grilling products; cat litter products; food products; bags and wraps; natural personal care products; and professional cleaning and disinfecting products internationally primarily under the Clorox, Ayudin, Clorinda, Poett, Pine-Sol, Glad, Brita, RenewLife, Ever Clean and Burt's Bees brand names. The Clorox Company sells its products primarily through mass retailers, grocery outlets, warehouse clubs, dollar stores, home hardware centers, third-party and owned e-commerce channels, military stores, and distributors, as well as a direct sales force. The company was founded in 1913 and is headquartered in Oakland, California.",United States,CA,94612-1888,https://logo.clearbit.com/thecloroxcompany.com
CHE,Chemed Corp,Chemed Corporation,Healthcare,Medical Care Facilities,"Chemed Corporation provides hospice and palliative care services to patients through a network of physicians, registered nurses, home health aides, social workers, clergy, and volunteers in the United States. It operates in two segments, VITAS and Roto-Rooter. The company also offers plumbing, drain cleaning, water restoration, and other related services to residential and commercial customers through company-owned branches and independent contractors, and franchised locations. Chemed Corporation was incorporated in 1970 and is headquartered in Cincinnati, Ohio.",United States,OH,45202-4726,https://logo.clearbit.com/chemed.com
BHP,BHP Group Limited,BHP Group,Basic Materials,Other Industrial Metals & Mining,"BHP Group engages in the natural resources business in Australia, Europe, China, Japan, India, South Korea, rest of Asia, North America, South America, and internationally. It operates through Petroleum, Copper, Iron Ore, and Coal segments. The company engages in the exploration, development, and production of oil and gas properties; and mining of copper, silver, zinc, molybdenum, uranium, gold, iron ore, and metallurgical and energy coal. It is also involved in mining, smelting, and refining of nickel; the provision of towing, freight, marketing and trading, marketing support, finance, administrative, and other services; and potash development activities. The company was founded in 1851 and is headquartered in Melbourne, Australia.",Australia,VIC,3000,https://logo.clearbit.com/bhp.com
ATHM,Autohome Inc.,Autohome Inc.,Communication Services,Internet Content & Information,"Autohome Inc. operates as an online destination for automobile consumers in the People's Republic of China. The company, through its websites, autohome.com.cn and che168.com, and its mobile applications and mini apps, delivers interactive content and tools to automobile consumers. It provides media services, including automaker advertising services and regional marketing campaigns; and leads generation services comprising dealer subscription services, advertising services for individual dealers, and used automobile listing and other platform-based services. The company also offers Autohome Mall, an online transaction platform for users to review automotive-related information, purchase coupons offered by automakers for discounts, and make purchases to complete the transaction; data products; and online bidding platform for used automobiles, as well as collects commissions for facilitating transactions of auto-financing and insurance products on its platform. The company was formerly known as Sequel Limited and changed its name to Autohome Inc. in October 2011. Autohome Inc. was incorporated in 2008 and is headquartered in Beijing, the People's Republic of China.",China,,100080,https://logo.clearbit.com/autohome.com.cn
AME,"AMETEK, Inc.","AMETEK, Inc.",Industrials,Specialty Industrial Machinery,"AMETEK, Inc. manufactures and sells electronic instruments and electromechanical devices worldwide. It operates in two segments, Electronic Instruments (EIG) and Electromechanical (EMG). The company's EIG segment offers advanced instruments for the process, aerospace, power, and industrial markets; process and analytical instruments for the oil and gas, petrochemical, pharmaceutical, semiconductor, automation, and food and beverage industries; and instruments to the laboratory equipment, ultra-precision manufacturing, medical, and test and measurement markets. This segment also provides power quality monitoring and metering devices, uninterruptible power supplies, programmable power equipment, electromagnetic compatibility test equipment, sensors for gas turbines, dashboard instruments for heavy trucks and other vehicles, and instrumentation and controls for the food and beverage industries; and aircraft and engine sensors, monitoring systems, power supplies, fuel and fluid measurement systems, and data acquisition units for the aerospace industry. Its EMG segment offers engineered electrical connectors and electronics packaging for protecting sensitive electronic devices; precision motion control products for data storage, medical devices, business equipment, automation and other applications; high-purity powdered metals, strip and foil, specialty clad metals, and metal matrix composites; motor-blower systems and heat exchangers for use in thermal management, military, commercial aircraft, and military ground vehicles; and motors for use in commercial appliances, fitness equipment, food and beverage machines, hydraulic pumps, and industrial blowers. This segment also operates a network of aviation maintenance, repair, and overhaul facilities. In addition, the company offers clinical and education communication solutions for healthcare facilities and educational institutions. AMETEK, Inc. was incorporated in 1930 and is headquartered in Berwyn, Pennsylvania.",United States,PA,19312-1177,https://logo.clearbit.com/ametek.com
SSYS,"Stratasys, Ltd.",Stratasys Ltd.,Technology,Computer Hardware,"Stratasys Ltd. provides connected and polymer-based 3D printing solutions. It offers 3D printing systems, such as polyjet printers, FDM printers, stereolithography printing systems, and programmable photo polymerization printers for rapid prototyping, such as design validation, visualization, and communication. The company also provides 3D printing materials, including approximately FDM spool-based filament materials, polyjet cartridge-based resin materials, non-color digital materials, and color variations for use in 3D printers and production systems. In addition, it offers GrabCAD Print Platform that offers job programming, scheduling, monitoring, order management, and analytics across various 3D printing technologies. Further, the company operates Thingiverse.com, an online community for sharing downloadable and digital 3D designs; and GrabCAD Community for mechanical engineers, designers, manufacturers, and students. Its products and services are primarily used in the automotive, aerospace, medical, dental, education, and consumer goods markets. The company sells its products through a network of resellers and independent sales agents worldwide. Stratasys Ltd. was incorporated in 1989 and is headquartered in Eden Prairie, Minnesota.",United States,MN,55344,https://logo.clearbit.com/stratasys.com
X,United States Steel Corporation,United States Steel Corporation,Basic Materials,Steel,"United States Steel Corporation produces and sells flat-rolled and tubular steel products primarily in North America and Europe. It operates through three segments: North American Flat-Rolled (Flat-Rolled), U. S. Steel Europe (USSE), and Tubular Products (Tubular). The Flat-Rolled segment offers slabs, strip mill plates, sheets and tin mill products, as well as all iron ore and coke. This segment serves customers in the service center, conversion, automotive, construction, container, and appliance and electrical markets. The USSE segment provides slabs, strip mill plate, sheet, tin mill products, and spiral welded pipes, as well as refractory ceramic materials. This segment serves customers in the construction, container, appliance and electrical, service center, conversion, oil, gas, and petrochemical markets. The Tubular segment offers seamless and electric resistance welded steel casing and tubing products, as well as standard and line pipe and mechanical tubing products primarily to customers in the oil, gas, and petrochemical markets. The company also provides railroad services and real estate operations. United States Steel Corporation was founded in 1901 and is headquartered in Pittsburgh, Pennsylvania.",United States,PA,15219-2800,https://logo.clearbit.com/ussteel.com
